tweet,analysis,raw_analysis
RT @IamFaizanAzam: Imran Khan has nothing to do with A little with Islamic ideology b'coz due to his sinful past glamorous and Vulgar Life…,negative,"Sentiment(polarity=-0.315625, subjectivity=0.48125)"
"RT @DevelopmentPk: #Pakistan PM Imran Khan to be conferred #Bahrain's highest civilian award
PM is set to embark on a three-country tour on…",neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @BBhuttoZardari: Tired of Hearing Leader Criticized, Pakistani Lawmaker Starts Banning Words https://t.co/0LuvQgDmiv #SelectedPM",negative,"Sentiment(polarity=-0.4, subjectivity=0.7)"
"RT @abidamunir110: PTI means Imran Khan, those patwaris and darbaris are dreaming about minus  drama.. kbhi kamyab ni ho gy tm log...Prime…",negative,"Sentiment(polarity=-0.1, subjectivity=0.1)"
RT @PakShowsPk: عمران خان قرضوں کے لیے کونسا ائیرپورٹ گروی رکھنے جا رہے ہیں ، دیکھیں وہ کونسا ائیرپورٹ ہے ؟ مزید حیرت انگیز تفصیل  رؤف کلاس…,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @mariamsmadness: Pakistan PM Imran Khan to receive Bahrain's highest civilian award.
 https://t.co/19cvacmCFZ",neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
RT @Chocolati_Hero: @RAVINDER47 @DOCTOR__IMRAN @Bintebashir550 @FaizanLakhani5 @MRehmanKhan777 @TahirMe89710023 @NooreMuqaddas2 @MalikAf078…,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
RT @IamFaizanAzam: Imran Khan has nothing to do with A little with Islamic ideology b'coz due to his sinful past glamorous and Vulgar Life…,negative,"Sentiment(polarity=-0.315625, subjectivity=0.48125)"
"Pls post that video of imran khan in which he abused!pxxx
#مانی_مینٹل_زبان_کولگام_دو",neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @PTIofficial: On the occasion of International Anti-Corruption Day , Prime Minister Imran Khan will launch ‘Report Corruption App’today.…",neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @SoStarMusic: The rise of Pakistan's Imran Khan in India-administered Kashmir

#ImranKhanVoiceOfKashmir

@antonioguterres @JosepBorrellF…",neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
RT @IntlRizviMedia: Enough! Now Imran khan has crossed the limit. Shut your filthy mouth and stop using disrespectful language against piou…,negative,"Sentiment(polarity=-0.4, subjectivity=0.75)"
RT @gulf_news: Pakistan PM Imran Khan to be conferred Bahrain's highest civilian award https://t.co/XzTZIreYin,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
