tweet,analysis,raw_analysis
NHSと組んで$2 billion企業に化けた #医用AI の #BabylonHealth の症状チェッカーは、バビロンの塔？有効性を示すRCT結果は皆無。FDAの医用AI規制は未だ緩めだが、アカデミアの批判は強い。広報：「メデ… https://t.co/PW7bkNEmTO,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
Risks and remedies for artificial intelligence in health care #Innovation #ArtificialIntelligence #HealthCare #AI v… https://t.co/2F7Sb00Gss,negative,"Sentiment(polarity=-0.6, subjectivity=1.0)"
"RT @DAServerQuotes: ""Artificial intelligence will rise one day""
""That doesnt mean you'll get waifus""",negative,"Sentiment(polarity=-0.45625, subjectivity=0.84375)"
"RT @ylecun: There is no such thing as Artificial General Intelligence because there is no such thing as General Intelligence.

Human intell…",negative,"Sentiment(polarity=-0.08333333333333331, subjectivity=0.5166666666666667)"
"Want an accessible and easy description of AI? Our free e-book, How Machines Learn, is just that.… https://t.co/SAmAIuWCW4",positive,"Sentiment(polarity=0.40277777777777785, subjectivity=0.6694444444444446)"
SkyWatch to build advanced autonomous space systems using artificial intelligence and big data analytics for the Ca… https://t.co/CAxxJh7bbO,positive,"Sentiment(polarity=0.05000000000000002, subjectivity=0.6)"
"In Battlefield Singularity, @EBKania explores Chinese strategic thinking on AI and specific military applications t… https://t.co/WvO24el3mQ",negative,"Sentiment(polarity=-0.03333333333333333, subjectivity=0.075)"
"""'...And there was light.' Scroll forward 13.6 billion years and here we are pondering our existence."" Read… https://t.co/WfOardHhuh",positive,"Sentiment(polarity=0.4, subjectivity=0.7)"
"RT @Datascience__: Forget about artificial intelligence, extended intelligence is the future https://t.co/dufCZlbRip  #ArtificialIntelligen…",negative,"Sentiment(polarity=-0.3, subjectivity=0.5625)"
Artificial intelligence meets HR: Igniting employee engagement and experience #AshutoshGarg https://t.co/0keGwOqp5k… https://t.co/nLRSg67Nvl,negative,"Sentiment(polarity=-0.6, subjectivity=1.0)"
for the convenience of humans. Cloning maybe??? Artificial intelligence???  I don't think it's a stretch. Something is going on! 2/2,negative,"Sentiment(polarity=-0.75, subjectivity=1.0)"
"RT @GlobalFishWatch: By harnessing big data and artificial intelligence, we’re able to generate a clearer view into the often shadowy pract…",negative,"Sentiment(polarity=-0.033333333333333326, subjectivity=0.5750000000000001)"
"#CaminaFuturo Abu Dhabi lanza la primera universidad de Inteligencia Artificial del mundo.

https://t.co/OmBMEOH35h",negative,"Sentiment(polarity=-0.6, subjectivity=1.0)"
"RT @undarkmag: Babylon Health says its symptom checker has been used more than 1.7 million times by people in England, the European Union,…",positive,"Sentiment(polarity=0.25, subjectivity=0.25)"
